sample_id,source_file,label,element_html,parent_html,sr_transcript,sr_status_announcement,sr_role_state_value,sr_label_instruction,sr_focus_order,sr_link_purpose,sr_headings_labels,sr_reading_order,sr_keyboard_trap,sr_focus_context,sr_input_context,sr_sensory_reference,Prediction,Reason,Confidence,EvidenceCitation,AppliedSkills
tables-table-has-no-table-headings::sample-0,tables-table-has-no-table-headings.html,inaccessible,<table><caption>Shelly's Daughters</caption><thead><tr><td>Name</td><td>Age</td><td>Birthday</td></tr></thead><tbody><tr><td>Jackie</td><td>5</td><td>April 5</td></tr><tr><td>Beth</td><td>8</td><td>January 14</td></tr></tbody></table>,<main><table><caption>Shelly's Daughters</caption><thead><tr><td>Name</td><td>Age</td><td>Birthday</td></tr></thead><tbody><tr><td>Jackie</td><td>5</td><td>April 5</td></tr><tr><td>Beth</td><td>8</td><td>January 14</td></tr></tbody></table></main>,"[""table, Shelly's Daughters"",""caption, Shelly's Daughters"",""rowgroup"",""row, Name Age Birthday"",""cell, Name"",""cell, Age"",""cell, Birthday"",""end of row, Name Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""cell, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""cell, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table, Shelly's Daughters""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'The table’s header row is marked up with <td> instead of <th> (no scope/headers), so column headers are not programmatically associated. The screen reader announces these as generic ""cell"" rather than ""columnheader"".'}",0.97,"SOURCE HTML: <thead><tr><td>Name</td><td>Age</td><td>Birthday</td></tr></thead> | SCREEN READER: ""cell, Name | cell, Age | cell, Birthday""",1.3.1/table-relationships
tables-table-is-missing-a-caption::sample-0,tables-table-is-missing-a-caption.html,inaccessible,"<table><thead><tr><th scope=""col"">Name</th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table>","<main><table><thead><tr><th scope=""col"">Name</th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table></main>","[""table"",""rowgroup"",""row, Name Age Birthday"",""columnheader, Name"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Name Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table""]",,,,,,,,,,,,accessible,,0.97,"SOURCE HTML: <th scope=""col"">Name</th> … <th scope=""row"">Jackie</th> | SCREEN READER: ""columnheader, Name … rowheader, Jackie … cell, 5 …""",1.3.1/table-relationships
tables-table-nested-within-table-header::sample-0,tables-table-nested-within-table-header.html,inaccessible,"<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Lunch</td><td>£6.99</td></tr><tr><th>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></th><td>£609.98</td></tr></tbody></table>","<main><table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Lunch</td><td>£6.99</td></tr><tr><th>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></th><td>£609.98</td></tr></tbody></table></main>","[""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Lunch £6.99"",""cell, Lunch"",""cell, £6.99"",""end of row, Lunch £6.99"",""row, Holiday Item Cost Accommodation £499.99 Travel £109.99 £609.98"",""rowheader, Holiday Item Cost Accommodation £499.99 Travel £109.99"",""Holiday"",""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Accommodation £499.99"",""cell, Accommodation"",""cell, £499.99"",""end of row, Accommodation £499.99"",""row, Travel £109.99"",""cell, Travel"",""cell, £109.99"",""end of row, Travel £109.99"",""end of rowgroup"",""end of table"",""end of rowheader, Holiday Item Cost Accommodation £499.99 Travel £109.99"",""cell, £609.98"",""end of row, Holiday Item Cost Accommodation £499.99 Travel £109.99 £609.98"",""end of rowgroup"",""end of table""]",,,,,,,,,,,,inaccessible,"{'1.3.1': ""The table contains a nested <table> inside a <th> cell, creating ambiguous relationships. The SOURCE HTML shows '<tr><th>Holiday <table>…</table></th><td>£609.98</td></tr>', and the SCREEN READER transcript announces an inner 'table' during the row walk, indicating broken header/data associations.""}",0.92,"SOURCE HTML: '<tr><th>Holiday <table>…</table></th><td>£609.98</td></tr>'; SCREEN READER: 'rowheader, Holiday … | table | rowgroup | … | end of table | end of rowheader …'",1.3.1/table-relationships
tables-table-nested-within-table-header::sample-1,tables-table-nested-within-table-header.html,inaccessible,<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table>,"<th>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></th>","[""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Accommodation £499.99"",""cell, Accommodation"",""cell, £499.99"",""end of row, Accommodation £499.99"",""row, Travel £109.99"",""cell, Travel"",""cell, £109.99"",""end of row, Travel £109.99"",""end of rowgroup"",""end of table""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'The table is nested inside a <th> in the parent context, which creates ambiguous table structure. Parent HTML shows: a <th> element containing text and the entire <table> — a data table nested inside a table header cell violates proper header/data relationships.'}",0.82,"PARENT CONTEXT HTML: ""<th>Holiday
<table>…</table></th>""",1.3.1/table-relationships
tables-table-nested-within-table::sample-0,tables-table-nested-within-table.html,inaccessible,"<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Lunch</td><td>£6.99</td></tr><tr><td>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></td><td>£609.98</td></tr></tbody></table>","<main><table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Lunch</td><td>£6.99</td></tr><tr><td>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></td><td>£609.98</td></tr></tbody></table></main>","[""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Lunch £6.99"",""cell, Lunch"",""cell, £6.99"",""end of row, Lunch £6.99"",""row, Holiday Item Cost Accommodation £499.99 Travel £109.99 £609.98"",""cell, Holiday Item Cost Accommodation £499.99 Travel £109.99"",""Holiday"",""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Accommodation £499.99"",""cell, Accommodation"",""cell, £499.99"",""end of row, Accommodation £499.99"",""row, Travel £109.99"",""cell, Travel"",""cell, £109.99"",""end of row, Travel £109.99"",""end of rowgroup"",""end of table"",""end of cell, Holiday Item Cost Accommodation £499.99 Travel £109.99"",""cell, £609.98"",""end of row, Holiday Item Cost Accommodation £499.99 Travel £109.99 £609.98"",""end of rowgroup"",""end of table""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Nested data table inside another table creates a confusing, ambiguous reading structure. SOURCE HTML shows an inner <table> within a data cell of the outer table, and the SCREEN READER transcript announces entering a second table mid-row. This violates data table structure requirements.'}",0.92,"SOURCE HTML: “…<td>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th>…” ; SCREEN READER: “…cell, Holiday … | table | … | end of table | end of cell…”",1.3.1/table-relationships
tables-table-nested-within-table::sample-1,tables-table-nested-within-table.html,inaccessible,<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table>,"<td>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></td>","[""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Accommodation £499.99"",""cell, Accommodation"",""cell, £499.99"",""end of row, Accommodation £499.99"",""row, Travel £109.99"",""cell, Travel"",""cell, £109.99"",""end of row, Travel £109.99"",""end of rowgroup"",""end of table""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'The element is a data table nested inside another table cell. The PARENT CONTEXT HTML shows the <table> resides within a <td> (i.e., a table nested in another table), which creates a confusing, ambiguous reading structure and violates proper data table relationships.'}",0.88,"parent_html: ""<td>Holiday
<table>…""",1.3.1/table-relationships
tables-table-that-only-has-th-elements-in-it::sample-0,tables-table-that-only-has-th-elements-in-it.html,inaccessible,<table><thead><tr><th>Foo</th><th>Bar</th><th>Bat</th><th>Baz</th></tr></thead></table>,<main><table><thead><tr><th>Foo</th><th>Bar</th><th>Bat</th><th>Baz</th></tr></thead></table></main>,"[""table"",""rowgroup"",""row, Foo Bar Bat Baz"",""columnheader, Foo"",""columnheader, Bar"",""columnheader, Bat"",""columnheader, Baz"",""end of row, Foo Bar Bat Baz"",""end of rowgroup"",""end of table""]",,,,,,,,,,,,insufficient_evidence,,0.67,"SOURCE HTML shows only a header row: <table><thead><tr><th>Foo</th><th>Bar</th><th>Bat</th><th>Baz</th></tr></thead></table>; SCREEN READER announces only column headers and no data cells: ""columnheader, Foo ... end of table""",1.3.1/table-relationships
tables-table-used-for-layout::sample-0,tables-table-used-for-layout.html,inaccessible,"<table><tbody><tr><td><ul><li><a href=""home.html"">Home</a></li><li><a href=""about-us.html"">About us</a></li><li><a href=""products.html"">Our products</a></li></ul></td><td><h2>Welcome to our homepage</h2><p>Here you can find out who we are, what we do and why you should buy our products.</p></td></tr></tbody></table>","<main><table><tbody><tr><td><ul><li><a href=""home.html"">Home</a></li><li><a href=""about-us.html"">About us</a></li><li><a href=""products.html"">Our products</a></li></ul></td><td><h2>Welcome to our homepage</h2><p>Here you can find out who we are, what we do and why you should buy our products.</p></td></tr></tbody></table></main>","[""table"",""rowgroup"",""row, Home About us Our products Welcome to our homepage Here you can find out who we are, what we do and why you should buy our products."",""cell, Home About us Our products"",""list"",""listitem, level 1, position 1, set size 3"",""link, Home"",""end of listitem, level 1, position 1, set size 3"",""listitem, level 1, position 2, set size 3"",""link, About us"",""end of listitem, level 1, position 2, set size 3"",""listitem, level 1, position 3, set size 3"",""link, Our products"",""end of listitem, level 1, position 3, set size 3"",""end of list"",""end of cell, Home About us Our products"",""cell, Welcome to our homepage Here you can find out who we are, what we do and why you should buy our products."",""heading, Welcome to our homepage, level 2"",""paragraph"",""Here you can find out who we are, what we do and why you should buy our products."",""end of paragraph"",""end of cell, Welcome to our homepage Here you can find out who we are, what we do and why you should buy our products."",""end of row, Home About us Our products Welcome to our homepage Here you can find out who we are, what we do and why you should buy our products."",""end of rowgroup"",""end of table""]",,,,,,,,,,,,inaccessible,"{'1.3.1': ""Layout table imposes table semantics on non-tabular content: element_html shows a <ul> of nav links and an <h2>/<p> inside <td> cells with no <th> or caption; sr_transcript announces 'table' with 'cell' entries rather than any column/row headers, indicating a layout table misused as a data table.""}",0.9,"SOURCE HTML: <table>…<td><ul>…</ul></td><td><h2>Welcome…</h2><p>…</p></td>…; SCREEN READER: 'table … cell, Home About us Our products' and 'cell, Welcome to our homepage …'",1.3.1/table-relationships
tables-table-used-for-layout::sample-1,tables-table-used-for-layout.html,inaccessible,"<ul><li><a href=""home.html"">Home</a></li><li><a href=""about-us.html"">About us</a></li><li><a href=""products.html"">Our products</a></li></ul>","<td><ul><li><a href=""home.html"">Home</a></li><li><a href=""about-us.html"">About us</a></li><li><a href=""products.html"">Our products</a></li></ul></td>","[""list"",""listitem, level 1, position 1, set size 3"",""link, Home"",""end of listitem, level 1, position 1, set size 3"",""listitem, level 1, position 2, set size 3"",""link, About us"",""end of listitem, level 1, position 2, set size 3"",""listitem, level 1, position 3, set size 3"",""link, Our products"",""end of listitem, level 1, position 3, set size 3"",""end of list""]",,,,,,,,,,,,accessible,,0.97,"sr_transcript: ""list | listitem, level 1, position 1, set size 3 | link, Home …"" and source HTML shows a proper <ul> with <li> children.","1.3.1/list-structure, 1.3.1/semantic-misuse, 4.1.2/name-role-value, 4.1.3/status-messages"
tables-table-with-column-headers-and-double-row-headers::sample-0,tables-table-with-column-headers-and-double-row-headers.html,inaccessible,<table><caption>Road Traffic at Junctions</caption><tbody><tr><th>Road</th><th>Junction</th><th>Car</th><th>Bus</th></tr><tr><th>Regent Street</th><th>Oxford Street</th><td>307</td><td>12</td></tr><tr><th>Regent Street</th><th>Bond Street</th><td>1731</td><td>58</td></tr><tr><th>Southwark Street</th><th>Union Street</th><td>1975</td><td>51</td></tr></tbody></table>,<main><table><caption>Road Traffic at Junctions</caption><tbody><tr><th>Road</th><th>Junction</th><th>Car</th><th>Bus</th></tr><tr><th>Regent Street</th><th>Oxford Street</th><td>307</td><td>12</td></tr><tr><th>Regent Street</th><th>Bond Street</th><td>1731</td><td>58</td></tr><tr><th>Southwark Street</th><th>Union Street</th><td>1975</td><td>51</td></tr></tbody></table></main>,"[""table, Road Traffic at Junctions"",""caption, Road Traffic at Junctions"",""rowgroup"",""row, Road Junction Car Bus"",""columnheader, Road"",""columnheader, Junction"",""columnheader, Car"",""columnheader, Bus"",""end of row, Road Junction Car Bus"",""row, Regent Street Oxford Street 307 12"",""rowheader, Regent Street"",""rowheader, Oxford Street"",""cell, 307"",""cell, 12"",""end of row, Regent Street Oxford Street 307 12"",""row, Regent Street Bond Street 1731 58"",""rowheader, Regent Street"",""rowheader, Bond Street"",""cell, 1731"",""cell, 58"",""end of row, Regent Street Bond Street 1731 58"",""row, Southwark Street Union Street 1975 51"",""rowheader, Southwark Street"",""rowheader, Union Street"",""cell, 1975"",""cell, 51"",""end of row, Southwark Street Union Street 1975 51"",""end of rowgroup"",""end of table, Road Traffic at Junctions""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Data rows contain multiple leading <th> cells with no scope whose text varies per row (street names), marking data values as headers. This ""double header"" pattern fails proper programmatic association of headers and data for a data table.'}",0.93,element_html: <tr><th>Regent Street</th><th>Oxford Street</th><td>307</td><td>12</td></tr>,1.3.1/table-relationships
tables-table-with-inconsistent-numbers-of-columns-in-rows::sample-0,tables-table-with-inconsistent-numbers-of-columns-in-rows.html,inaccessible,"<table><caption>Requester information</caption><thead><tr><th colspan=""10"">Requester Information</th></tr></thead><tbody><tr><th class=""label"" colspan=""1"" id=""name"">Name</th><td colspan=""7"" headers=""name"">Jon Smith</td><th class=""label"" colspan=""1"" id=""date"">Date</th><td colspan=""1"" headers=""date"">9/9/2005</td></tr><tr><th class=""label"" colspan=""1"" id=""dept"">Department</th><td colspan=""9"" headers=""dept"">Customer Service</td></tr><tr><th class=""label"" colspan=""1"" id=""remail"">E-mail</th><td colspan=""4"" headers=""remail"">jon.smith@gov.uk</td><th class=""label"" colspan=""1"" id=""rphone"">Phone</th><td colspan=""4"" headers=""rphone"">07700 900258</td></tr></tbody></table>","<main><table><caption>Requester information</caption><thead><tr><th colspan=""10"">Requester Information</th></tr></thead><tbody><tr><th class=""label"" colspan=""1"" id=""name"">Name</th><td colspan=""7"" headers=""name"">Jon Smith</td><th class=""label"" colspan=""1"" id=""date"">Date</th><td colspan=""1"" headers=""date"">9/9/2005</td></tr><tr><th class=""label"" colspan=""1"" id=""dept"">Department</th><td colspan=""9"" headers=""dept"">Customer Service</td></tr><tr><th class=""label"" colspan=""1"" id=""remail"">E-mail</th><td colspan=""4"" headers=""remail"">jon.smith@gov.uk</td><th class=""label"" colspan=""1"" id=""rphone"">Phone</th><td colspan=""4"" headers=""rphone"">07700 900258</td></tr></tbody></table></main>","[""table, Requester information"",""caption, Requester information"",""rowgroup"",""row, Requester Information"",""columnheader, Requester Information, column span 10"",""end of row, Requester Information"",""end of rowgroup"",""rowgroup"",""row, Name Jon Smith Date 9/9/2005"",""rowheader, Name, column span 1"",""cell, Jon Smith, column span 7"",""rowheader, Date, column span 1"",""cell, 9/9/2005, column span 1"",""end of row, Name Jon Smith Date 9/9/2005"",""row, Department Customer Service"",""rowheader, Department, column span 1"",""cell, Customer Service, column span 9"",""end of row, Department Customer Service"",""row, E-mail jon.smith@gov.uk Phone 07700 900258"",""rowheader, E-mail, column span 1"",""cell, jon.smith@gov.uk, column span 4"",""rowheader, Phone, column span 1"",""cell, 07700 900258, column span 4"",""end of row, E-mail jon.smith@gov.uk Phone 07700 900258"",""end of rowgroup"",""end of table, Requester information""]",,,,,,,,,,,,accessible,,0.91,"SOURCE HTML uses <th id=""…""> with <td headers=""…""> (e.g., id=""name"" and headers=""name""); SCREEN READER announces rowheader ""Name"" then cell ""Jon Smith"", and re-announces headers for each cell.",1.3.1/table-relationships
tables-table-with-some-empty-cells::sample-0,tables-table-with-some-empty-cells.html,inaccessible,"<table><caption>Bills before Parliament 2016-17</caption><thead><tr><th>
Current House
</th><th>
Bill title
</th><th>
Last updated
</th></tr></thead><tbody><tr><td>&nbsp;</td><td>A</td><td>&nbsp;</td></tr><tr><td>
Lords
</td><td>
Abortion (Disability Equality) Bill [HL]
</td><td>26.05.2016</td></tr><tr><td>
Lords
</td><td>
Access to Palliative Care Bill [HL]
</td><td>10.06.2016</td></tr></tbody></table>","<main><table><caption>Bills before Parliament 2016-17</caption><thead><tr><th>
Current House
</th><th>
Bill title
</th><th>
Last updated
</th></tr></thead><tbody><tr><td>&nbsp;</td><td>A</td><td>&nbsp;</td></tr><tr><td>
Lords
</td><td>
Abortion (Disability Equality) Bill [HL]
</td><td>26.05.2016</td></tr><tr><td>
Lords
</td><td>
Access to Palliative Care Bill [HL]
</td><td>10.06.2016</td></tr></tbody></table></main>","[""table, Bills before Parliament 2016-17"",""caption, Bills before Parliament 2016-17"",""rowgroup"",""row, Current House Bill title Last updated"",""columnheader, Current House"",""columnheader, Bill title"",""columnheader, Last updated"",""end of row, Current House Bill title Last updated"",""end of rowgroup"",""rowgroup"",""row, A"",""cell"",""cell, A"",""cell"",""end of row, A"",""row, Lords Abortion (Disability Equality) Bill [HL] 26.05.2016"",""cell, Lords"",""cell, Abortion (Disability Equality) Bill [HL]"",""cell, 26.05.2016"",""end of row, Lords Abortion (Disability Equality) Bill [HL] 26.05.2016"",""row, Lords Access to Palliative Care Bill [HL] 10.06.2016"",""cell, Lords"",""cell, Access to Palliative Care Bill [HL]"",""cell, 10.06.2016"",""end of row, Lords Access to Palliative Care Bill [HL] 10.06.2016"",""end of rowgroup"",""end of table, Bills before Parliament 2016-17""]",,,,,,,,,,,,accessible,,0.86,"sr_transcript shows header semantics: ""columnheader, Current House | columnheader, Bill title | columnheader, Last updated""; element_html has <caption> and a <thead> with <th> headers.",1.3.1/table-relationships
